name,material,type_wood,processing,size,sort,price,unit,img
Доска Палубная,Лиственница,Сибирская (Ангарская),,27х140х3-4м,1,1.9,кв.м,
Доска Палубная,Лиственница,Сибирская (Ангарская),,27х140х3-4м,2,1.3,кв.м,
Доска Террасная,Лиственница,Сибирская (Ангарская),Вельвет,30х128х3/3.5м,0,2.3,кв.м,
Доска Террасная,Лиственница,Сибирская (Ангарская),Вельвет,30х128х3/3.5м,1,1.9,кв.м,
Доска Террасная,Лиственница,Сибирская (Ангарская),Вельвет,30х128х3/3.5м,2,1.3,кв.м,
Мебельный щит,Сосна,Сибирская (Ангарская),,18х200-600х1-3м,,950,кв.м,
Мебельный щит,Лиственница,Сибирская (Ангарская),,18х200-600х1-3м,,2.2,кв.м,
Наличники,Сосна,Сибирская (Ангарская),,50х1.2/2.2м; 60х1.2/2.2/4м; 65х1.2/2.2м; 70х1.2/2.2/3м; 75х1.2/2.2м 80х1.2/2.2/3м,0,75,пог.м,
Наличники,Сосна,Сибирская (Ангарская),,50х1.2/2.2м; 60х1.2/2.2/4м; 65х1.2/2.2м; 70х1.2/2.2/3м; 75х1.2/2.2м 80х1.2/2.2/3м,1,65,пог.м,
Наличники,Сосна,Сибирская (Ангарская),,90х2.2м,0,110,пог.м,
Наличники,Сосна,Сибирская (Ангарская),,90х2.2м,1,95,пог.м,
Наличники,Сосна,Сибирская (Ангарская),,90х3м,0,140,пог.м,
Наличники,Сосна,Сибирская (Ангарская),,90х3м,1,120,пог.м,
Наличники,Сосна,Сибирская (Ангарская),,110х2.3/3м,0,140,пог.м,
Наличники,Сосна,Сибирская (Ангарская),,110х2.3/3м,1,120,пог.м,
Наличники,Сосна,Сибирская (Ангарская),,115х2.4м,0,170,пог.м,
Наличники,Сосна,Сибирская (Ангарская),,115х2.4м,1,140,пог.м,
Наличники,Сосна,Сибирская (Ангарская),,135х3/4м,0,210,пог.м,
Наличники,Сосна,Сибирская (Ангарская),,135х3/4м,1,180,пог.м,
Наличники,Сосна,Сибирская (Ангарская),,135х3/4м,2,150,пог.м,
Наличники,Сосна,Сибирская (Ангарская),,135х3/4м,3,120,пог.м,
Наличники,Сосна,Сибирская (Ангарская),,140х2.7/3/4м,0,220,пог.м,
Наличники,Сосна,Сибирская (Ангарская),,140х2.7/3/4м,1,190,пог.м,
Наличники,Сосна,Сибирская (Ангарская),,140х2.7/3/4м,2,160,пог.м,
