name	material	size	sort	price	unit	img
Дверная коробка	Сосна Сибирская (Ангарская)	40х75х2.1м;	0	160	пог.м	catalog/DverKorob-Sosna.png
Дверная коробка	Сосна Сибирская (Ангарская)	40х75х2.1м;	1	130	пог.м	catalog/DverKorob-Sosna.png
Дверная коробка	Сосна Сибирская (Ангарская)	40х100х2.1м;	0	180	пог.м	catalog/DverKorob-Sosna.png
Дверная коробка	Сосна Сибирская (Ангарская)	40х100х2.1м;	1	160	пог.м	catalog/DverKorob-Sosna.png
Дверная коробка	Сосна Сибирская (Ангарская)	40х120х2.1м;	0	210	пог.м	catalog/DverKorob-Sosna.png
Дверная коробка	Сосна Сибирская (Ангарская)	40х120х2.1м;	1	180	пог.м	catalog/DverKorob-Sosna.png
Дверная коробка	Сосна Сибирская (Ангарская)	40х140х2.1м;	0	250	пог.м	catalog/DverKorob-Sosna.png
Дверная коробка	Сосна Сибирская (Ангарская)	40х140х2.1м;	1	220	пог.м	catalog/DverKorob-Sosna.png
Доборы	Сосна Сибирская (Ангарская)	20х120х2-4м;		90	пог.м	catalog/Dodor-Sosna.png; catalog/Dodor-Sosna1.png
Доборы	Сосна Сибирская (Ангарская)	20х140х2-4м;		100	пог.м	catalog/Dodor-Sosna.png; catalog/Dodor-Sosna1.png
Доска	Кедр Сибирский (Ангарский) нестроганный	20х120х1/2м;		130	пог.м	catalog/Doska-Kedr-Nestrogan.png; catalog/Doska-Kedr-Nestrogan1.png
Доска	Лиственница Сибирская (Ангарская) строганная	45х145х4м; под заказ			пог.м	catalog/Doska-Listv-Strogannaia.png; catalog/Doska-Listv-Strogannaia1.png
Доска Палубная	Лиственница Сибирская (Ангарская)	27х140х3-4м;	0	2300	кв.м	catalog/Doska-Palub-Terrasnaia-Listv.png; catalog/Doska-Palub-Terrasnaia-Listv1.png
Доска Палубная	Лиственница Сибирская (Ангарская)	27х140х3-4м;	1	1900	кв.м	catalog/Doska-Palub-Terrasnaia-Listv.png; catalog/Doska-Palub-Terrasnaia-Listv1.png
Доска Палубная	Лиственница Сибирская (Ангарская)	27х140х3-4м;	2	1300	кв.м	catalog/Doska-Palub-Terrasnaia-Listv.png; catalog/Doska-Palub-Terrasnaia-Listv1.png
Доска пола	Лиственница Сибирская (Ангарская)	27х110/114х3м;	0	2300	кв.м	catalog/DoskaPola-Listv.png; catalog/DoskaPola-Listv1.png
Доска пола	Лиственница Сибирская (Ангарская)	27х110/114х3м;	1	1900	кв.м	catalog/DoskaPola-Listv.png; catalog/DoskaPola-Listv1.png
Доска пола	Лиственница Сибирская (Ангарская)	27х110/114х3м;	2	1300	кв.м	catalog/DoskaPola-Listv.png; catalog/DoskaPola-Listv1.png
Доска Террасная	Лиственница Сибирская (Ангарская) вельвет	30х128х3/3.5м;	0	2300	кв.м	catalog/DoskaPola-Listv.png; catalog/DoskaPola-Listv1.png
Доска Террасная	Лиственница Сибирская (Ангарская) вельвет	30х128х3/3.5м;	1	1900	кв.м	catalog/DoskaPola-Listv.png; catalog/DoskaPola-Listv1.png
Доска Террасная	Лиственница Сибирская (Ангарская) вельвет	30х128х3/3.5м;	2	1300	кв.м	catalog/DoskaPola-Listv.png; catalog/DoskaPola-Listv1.png
Имитация бруса	Кедр Алтайский	20х90-160х2-4м;		1800	кв.м	
Имитация бруса	Лиственница Сибирская (Ангарская)	20х110-180х2-4м;	0	2100	кв.м	
Имитация бруса	Лиственница Сибирская (Ангарская)	20х110-180х2-4м;	1	1600	кв.м	
Имитация бруса	Лиственница Сибирская (Ангарская)	20х110-180х2-4м;	2	1300	кв.м	
Имитация бруса	Сосна Сибирская (Ангарская) (массив)	21х135х2-4м;	0	1500	кв.м	catalog/ImitasiaBrusa-Sosna.png; catalog/ImitasiaBrusa-Sosna1.png
Имитация бруса	Сосна Сибирская (Ангарская) (массив)	21х135х2-4м;	1	1100	кв.м	catalog/ImitasiaBrusa-Sosna.png; catalog/ImitasiaBrusa-Sosna1.png
Имитация бруса	Сосна Сибирская (Ангарская) (массив)	21х135х2-4м;	2	750	кв.м	catalog/ImitasiaBrusa-Sosna.png; catalog/ImitasiaBrusa-Sosna1.png
Имитация бруса 	Сосна Сибирская (Ангарская)	21х135х2-4м;	3	450	кв.м	catalog/ImitasiaBrusa-Sosna.png; catalog/ImitasiaBrusa-Sosna1.png
Мебельный щит	Лиственница Сибирская (Ангарская)	18х200-600х1-3м;		2200	кв.м	catalog/MebelShit-Listv.png; catalog/MebelShit-Listv1.png
Мебельный щит	Сосна Сибирская (Ангарская)	18х200-600х1-3м;		950	кв.м	catalog/MebelShit-Sosna.png
Наличники	Лиственница Сибирская (Ангарская) текстурированная/брашированная	15х70х1.2/2.2м;	0	250	пог.м	catalog/Nalishnik-Listv.png; catalog/Nalishnik-Listv1.png;
Наличники	Лиственница Сибирская (Ангарская) текстурированная/брашированная	15х90х1.2/2.2м;	0	350	пог.м	catalog/Nalishnik-Listv.png; catalog/Nalishnik-Listv1.png;
Наличники	Лиственница Сибирская (Ангарская)	15х70х1.2/2.2/2.4/25/3м;	0	180	пог.м	catalog/Nalishnik-Listv.png; catalog/Nalishnik-Listv1.png;
Наличники	Лиственница Сибирская (Ангарская)	15х90х1.2/2.2/2.4/25/3м;	0	250	пог.м	catalog/Nalishnik-Listv.png; catalog/Nalishnik-Listv1.png;
Наличники	Сосна Сибирская (Ангарская)	50х1.2/2.2м; 60х1.2/2.2/4м; 65х1.2/2.2м; 70х1.2/2.2/3м; 75х1.2/2.2м; 80х1.2/2.2/3м;	0	75	пог.м	catalog/Nalishnik-Sosna.png; catalog/Nalishnik-Sosna1.png
Наличники	Сосна Сибирская (Ангарская)	50х1.2/2.2м; 60х1.2/2.2/4м; 65х1.2/2.2м; 70х1.2/2.2/3м; 75х1.2/2.2м; 80х1.2/2.2/3м;	1	65	пог.м	catalog/Nalishnik-Sosna.png; catalog/Nalishnik-Sosna1.png
Наличники	Сосна Сибирская (Ангарская)	90х2.2м;	0	110	пог.м	catalog/Nalishnik-Sosna.png; catalog/Nalishnik-Sosna1.png
Наличники	Сосна Сибирская (Ангарская)	90х2.2м;	1	95	пог.м	catalog/Nalishnik-Sosna.png; catalog/Nalishnik-Sosna1.png
Наличники	Сосна Сибирская (Ангарская)	90х3м;	0	140	пог.м	catalog/Nalishnik-Sosna.png; catalog/Nalishnik-Sosna1.png
Наличники	Сосна Сибирская (Ангарская)	90х3м;	1	120	пог.м	catalog/Nalishnik-Sosna.png; catalog/Nalishnik-Sosna1.png
Наличники	Сосна Сибирская (Ангарская)	110х2.3/3м;	0	140	пог.м	catalog/Nalishnik-Sosna.png; catalog/Nalishnik-Sosna1.png
Наличники	Сосна Сибирская (Ангарская)	110х2.3/3м;	1	120	пог.м	catalog/Nalishnik-Sosna.png; catalog/Nalishnik-Sosna1.png
Наличники	Сосна Сибирская (Ангарская)	115х2.4м;	0	170	пог.м	catalog/Nalishnik-Sosna.png; catalog/Nalishnik-Sosna1.png
Наличники	Сосна Сибирская (Ангарская)	115х2.4м;	1	140	пог.м	catalog/Nalishnik-Sosna.png; catalog/Nalishnik-Sosna1.png
Наличники	Сосна Сибирская (Ангарская)	135х3/4м;	0	210	пог.м	catalog/Nalishnik-Sosna.png; catalog/Nalishnik-Sosna1.png
Наличники	Сосна Сибирская (Ангарская)	135х3/4м;	1	180	пог.м	catalog/Nalishnik-Sosna.png; catalog/Nalishnik-Sosna1.png
Наличники	Сосна Сибирская (Ангарская)	135х3/4м;	2	150	пог.м	catalog/Nalishnik-Sosna.png; catalog/Nalishnik-Sosna1.png
Наличники	Сосна Сибирская (Ангарская)	135х3/4м;	3	120	пог.м	catalog/Nalishnik-Sosna.png; catalog/Nalishnik-Sosna1.png
Наличники	Сосна Сибирская (Ангарская)	140х2.7/3/4м;	0	220	пог.м	catalog/Nalishnik-Sosna.png; catalog/Nalishnik-Sosna1.png
Наличники	Сосна Сибирская (Ангарская)	140х2.7/3/4м;	1	190	пог.м	catalog/Nalishnik-Sosna.png; catalog/Nalishnik-Sosna1.png
Наличники	Сосна Сибирская (Ангарская)	140х2.7/3/4м;	2	160	пог.м	catalog/Nalishnik-Sosna.png; catalog/Nalishnik-Sosna1.png
Наличники	Сосна Сибирская (Ангарская)	140х2.7/3/4м;	3	140	пог.м	catalog/Nalishnik-Sosna.png; catalog/Nalishnik-Sosna1.png
Нащельник/Раскладка	Лиственница Сибирская (Ангарская)	30х2-4м; 35х2-4м;	0	80	пог.м	catalog/Nalishnik-Listv.png; catalog/Nalishnik-Listv1.png;
Нащельник/Раскладка	Лиственница Сибирская (Ангарская)	30х2-4м; 35х2-4м;	1	60	пог.м	catalog/Nalishnik-Listv.png; catalog/Nalishnik-Listv1.png;
Нащельник/Раскладка	Лиственница Сибирская (Ангарская)	40х2-4м; 45х2-4м;	0	100	пог.м	catalog/Nalishnik-Listv.png; catalog/Nalishnik-Listv1.png;
Нащельник/Раскладка	Лиственница Сибирская (Ангарская)	40х2-4м; 45х2-4м;	1	90	пог.м	catalog/Nalishnik-Listv.png; catalog/Nalishnik-Listv1.png;
Нащельник/Раскладка	Сосна Сибирская (Ангарская)	30х2-4.5м;	0	40	пог.м	catalog/Nashelnik-Raskladka-Sosna.png; catalog/Nashelnik-Raskladka-Sosna1.png
